del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS1175;582;47562;31345;3481;2108;19113;13167;5946;3943;2781;1162;15170;10386;4784;2707;4725;117;1105;1407;622;1333;2994;160;10032;14936;13833;1999;40801
TS1176;464;27799;0;912;522;9252;7337;1915;2213;1671;542;7039;5666;1373;3539;759;15;1146;303;178;269;730;100;10799;8118;4375;318;23610
TS1177;111;54804;47742;3592;1488;19369;13374;5995;4451;3078;1373;14918;10296;4622;743;6238;100;1336;1417;586;1337;2959;202;9161;18198;16516;2925;46800
TS1178;42;19444;17454;269;1368;6789;4708;2081;1560;1041;519;5229;3667;1562;212;2074;46;449;361;214;437;1348;88;2660;6427;6409;911;16407
TS1179;383;18266;0;625;499;6525;5302;1223;876;657;219;5649;4645;1004;2520;1428;22;281;369;189;275;499;66;4340;7138;3438;327;15243
TS117A;120;18525;8998;483;544;6359;5051;1308;551;363;188;5808;4688;1120;2667;1258;20;264;435;313;287;527;37;2970;7506;4355;610;15440
TS117B;88;39691;35168;853;3107;14460;10269;4191;1614;1141;473;12846;9128;3718;1217;4874;180;1520;808;499;911;2702;135;5034;13326;12167;2374;32900
TS117C;83;24539;16819;599;936;8180;6313;1867;957;705;252;7223;5608;1615;2059;1965;41;659;628;558;436;851;26;4299;8339;6320;934;19892
TS117D;60;51240;42762;1002;1703;17727;13242;4485;1379;988;391;16348;12254;4094;3112;5044;69;2344;1228;552;1432;2438;129;6820;18467;14232;2794;42314
TS1210;414;67471;44179;8280;3213;25443;19079;6364;3754;2375;1379;21689;16704;4985;7350;1877;194;1811;2440;1115;4692;2126;84;16065;19696;18547;2800;57108
TS1211;362;38396;20188;1585;2273;14509;10290;4219;2335;1584;751;12174;8706;3468;4382;905;106;1092;1010;611;2869;1142;57;9082;11064;10417;2139;32701
TS1212;240;22484;4960;1093;675;7996;6157;1839;917;591;326;7079;5566;1513;4340;410;33;882;254;170;695;234;61;7787;6976;3568;432;18762
TS1213;557;53195;6039;3425;1031;16773;13236;3537;2449;1757;692;14324;11479;2845;5449;842;69;3406;1395;379;1887;759;138;19052;15222;9331;1109;44713
TS1214;364;24327;10987;1456;631;8077;6432;1645;1200;895;305;6877;5537;1340;2392;590;34;1044;646;307;1009;778;77;7015;7312;5386;962;20675
TS1215;146;10509;0;559;295;4013;2833;1180;635;484;151;3378;2349;1029;2024;204;10;309;129;88;427;165;22;2833;3537;2290;268;8928
TS1216;628;32772;12732;1599;1170;11318;8843;2475;1977;1319;658;9341;7524;1817;4459;913;55;926;576;258;1461;619;74;9056;10280;7399;956;27691
TS1217;383;16383;3741;643;420;5383;4510;873;1517;1150;367;3866;3360;506;1567;264;35;584;484;93;528;241;70;4727;5244;3426;655;14052
TS1218;464;38964;20308;2244;1575;14466;10926;3540;2622;1721;901;11844;9205;2639;3504;1921;75;1306;862;485;2282;1180;229;8133;12745;10395;1700;32973
TS1220;192;68597;31167;3192;2758;24037;17584;6453;4585;3101;1484;19452;14483;4969;4239;1645;196;1910;2560;1086;5145;2468;203;13891;20970;19028;4213;58102
TS1221;348;44195;12830;7283;5403;15439;10698;4741;3297;2373;924;12142;8325;3817;4516;931;73;1854;1062;508;2038;1047;113;11397;13983;10117;2222;37720
TS1222;299;36061;14680;4516;1100;10979;8706;2273;2336;1781;555;8643;6925;1718;3319;524;39;692;948;430;1710;839;142;9298;11516;8421;1377;30611
TS1223;364;45494;15634;2520;2271;21141;12464;8677;2193;1494;699;18948;10970;7978;8413;1180;71;2848;1019;635;2361;2294;127;12174;13175;11275;1722;38346
TS1224;491;40372;8888;3302;1026;13593;9828;3765;3589;2533;1056;10004;7295;2709;3041;596;53;1984;620;324;2347;927;112;13087;11309;8175;1161;33732
TS1225;412;52690;3206;1990;769;17645;12260;5385;4593;3084;1509;13052;9176;3876;6711;301;128;2554;712;292;1574;530;250;20054;13497;7857;866;42274
TS1226;508;67955;19688;2389;933;21298;15677;5621;4267;3241;1026;17031;12436;4595;6060;598;42;4673;1174;486;2497;1276;225;22894;18351;12785;1681;55712
TS1227;201;19015;2188;594;498;6360;4328;2032;1496;1125;371;4864;3203;1661;2545;157;14;651;319;152;695;270;61;5788;5924;3803;460;15975
TS1228;287;42229;5418;247;1339;13029;9486;3543;2666;1862;804;10363;7624;2739;5097;468;52;1532;715;378;1445;488;188;14348;12040;8342;1196;35926
TS1230;213;40456;17719;10049;3214;10596;7544;3052;2068;1259;809;8528;6285;2243;337;633;162;1448;774;547;3382;1082;163;5545;8336;9470;1585;24935
TS1231;372;29951;27472;2126;2909;14206;10113;4093;2507;1593;914;11699;8520;3179;1461;666;191;1526;1190;667;4287;1590;121;8637;10555;11911;3129;34231
TS1232;728;28328;6330;1067;582;8161;6455;1706;2017;1384;633;6144;5071;1073;2441;352;36;1031;359;216;1315;314;80;9393;8353;5295;626;23667
TS1233;733;20527;6196;1252;510;6693;5274;1419;1455;986;469;5238;4288;950;2033;227;10;975;258;179;1158;352;46;6564;6139;3962;559;17225
TS1234;701;30659;20396;1984;1480;9467;7261;2206;2056;1389;667;7411;5872;1539;1810;998;45;1082;756;341;1579;753;47;7509;10052;7509;1121;26191
TS1235;494;16454;5044;1318;585;4248;3594;654;1658;1328;330;2590;2266;324;764;192;101;264;205;122;673;232;37;4546;5124;3638;560;13869
